acci_severity,row,acci_ref,loc_east_osgr,loc_nor_osgr,longitude,latitude,date,_months_,day_of_week,time,hour_of_day,time_category,loc_auth_ons_distr,first_road_class,first_road_num,road_type,speed_limit,junc_detail,sec_road_class,ped_cross_hum_con,ped_cross_phy_facil,light_con,weath_con,road_surf_con,spec_con_site,carri_haz,urb_or_rur_area,did_poli_offi_att,tru_road_flag,lsoa_of_acc_loc,num_of_casu,num_of_vehi,junc_detail_d,ped_cross_hum_con_d,ped_cross_phy_facil_d,carri_haz_d,light_con_d,road_surf_con_d,road_type_d,spec_con_site_d,weath_con_d,urb_or_rur_d,NumberHits,ExpectedHits,SamplingWeight,constant,NumberHits2,ExpectedHits2,SamplingWeight2
1,4,451074088,528135,146502,-0.167236,51.203365,8/5/2021,aug,5,15:00.0,9,morni,E07000211,3,23,3,40,0,0,0,4,1,1,1,0,0,1,1,2,E01030629,3,3,Not at junction or within 20 metres,None within 50 metres,"Pelican, puffin, toucan or similar non-junction",None,Daylight,Dry,Dual carriageway,None,Fine no high winds,Urban,2,1,1,1,2,1,1
1,4,451076994,490518,154620,-0.703465,51.283536,8/14/2021,aug,7,30:00.0,14,after,E07000209,6,0,6,40,0,0,0,0,1,1,1,0,0,2,1,2,E01030466,1,1,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,1,1,1
1,4,451091861,488376,149961,-0.73532,51.241989,9/26/2021,sep,1,02:00.0,1,night,E07000209,6,0,6,30,1,3,0,0,4,1,1,0,0,1,1,2,E01030422,9,2,Roundabout,None within 50 metres,No physical crossing facilities within 50 metres,None,Darkness - lights lit,Dry,Single carriageway,None,Fine no high winds,Urban,1,1,1,1,1,1,1
1,4,451092417,508315,137440,-0.453547,51.126006,9/27/2021,sep,2,17:00.0,18,eveni,E07000216,4,2128,6,60,0,0,0,0,1,1,1,0,0,2,1,2,E01030862,1,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,3,1,1,1,1,1,1
1,5,451036542,527789,153185,-0.169806,51.263506,4/17/2021,apr,7,40:00.0,17,after,E07000211,6,0,6,60,0,0,0,0,1,1,1,0,0,2,1,2,E01030598,1,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,1,1,1
1,5,451036670,536127,152890,-0.050484,51.258926,4/18/2021,apr,1,28:00.0,17,after,E07000215,1,25,3,70,0,0,0,0,1,1,1,0,0,2,1,1,E01030825,2,4,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Dual carriageway,None,Fine no high winds,Rural,1,1,1,1,2,1,1
1,5,451036670,536127,152890,-0.050484,51.258926,4/18/2021,apr,1,28:00.0,17,after,E07000215,1,25,3,70,0,0,0,0,1,1,1,0,0,2,1,1,E01030825,2,4,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Dual carriageway,None,Fine no high winds,Rural,1,1,1,1,2,1,1
1,5,451038559,491013,163192,-0.694183,51.360516,4/23/2021,apr,6,45:00.0,13,after,E07000214,3,30,6,30,3,3,0,0,1,1,1,0,0,2,1,2,E01030759,1,1,T or staggered junction,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,1,1,1
1,5,451127638,541252,152796,0.022879,51.256836,12/28/2021,dec,3,20:00.0,10,morni,E07000215,3,25,6,30,0,0,0,0,1,1,2,0,0,2,1,2,E01030832,2,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Wet or damp,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,3,1,1
1,5,451127638,541252,152796,0.022879,51.256836,12/28/2021,dec,3,20:00.0,10,morni,E07000215,3,25,6,30,0,0,0,0,1,1,2,0,0,2,1,2,E01030832,2,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Wet or damp,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,3,1,1
1,5,451127638,541252,152796,0.022879,51.256836,12/28/2021,dec,3,20:00.0,10,morni,E07000215,3,25,6,30,0,0,0,0,1,1,2,0,0,2,1,2,E01030832,2,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Wet or damp,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,3,1,1
1,5,451057723,502961,159348,-0.523744,51.323924,6/21/2021,jun,2,02:00.0,0,night,E07000217,4,382,6,40,0,0,0,0,4,1,1,0,0,2,1,2,E01030996,1,1,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Darkness - lights lit,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,2,1,1
1,5,451057723,502961,159348,-0.523744,51.323924,6/21/2021,jun,2,02:00.0,0,night,E07000217,4,382,6,40,0,0,0,0,4,1,1,0,0,2,1,2,E01030996,1,1,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Darkness - lights lit,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,2,1,1
1,5,451064876,540149,151803,0.006694,51.248184,7/10/2021,jul,7,28:00.0,11,morni,E07000215,6,0,6,30,3,6,0,0,1,1,2,0,0,1,1,2,E01030841,1,3,T or staggered junction,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Wet or damp,Single carriageway,None,Fine no high winds,Urban,1,1,1,1,1,1,1
1,5,451073352,490749,133348,-0.705519,51.092269,7/30/2021,jul,6,40:00.0,13,after,E07000216,3,286,6,40,0,0,0,0,1,2,2,0,0,1,1,2,E01030933,3,4,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Wet or damp,Single carriageway,None,Raining no high winds,Urban,1,1,1,1,1,1,1
1,5,451091861,488376,149961,-0.73532,51.241989,9/26/2021,sep,1,02:00.0,1,night,E07000209,6,0,6,30,1,3,0,0,4,1,1,0,0,1,1,2,E01030422,9,2,Roundabout,None within 50 metres,No physical crossing facilities within 50 metres,None,Darkness - lights lit,Dry,Single carriageway,None,Fine no high winds,Urban,1,1,1,1,1,1,1
1,5,451092417,508315,137440,-0.453547,51.126006,9/27/2021,sep,2,17:00.0,18,eveni,E07000216,4,2128,6,60,0,0,0,0,1,1,1,0,0,2,1,2,E01030862,1,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,3,1,1,1,1,1,1
1,5,451092435,488306,149952,-0.736324,51.241919,9/28/2021,sep,3,03:00.0,0,night,E07000209,3,331,3,70,0,0,0,1,4,1,1,0,2,2,1,2,E01030422,1,5,Not at junction or within 20 metres,None within 50 metres,Zebra,Other object on road,Darkness - lights lit,Dry,Dual carriageway,None,Fine no high winds,Rural,1,1,1,1,3,1,1
1,5,451092435,488306,149952,-0.736324,51.241919,9/28/2021,sep,3,03:00.0,0,night,E07000209,3,331,3,70,0,0,0,1,4,1,1,0,2,2,1,2,E01030422,1,5,Not at junction or within 20 metres,None within 50 metres,Zebra,Other object on road,Darkness - lights lit,Dry,Dual carriageway,None,Fine no high winds,Rural,1,1,1,1,3,1,1
1,5,451092435,488306,149952,-0.736324,51.241919,9/28/2021,sep,3,03:00.0,0,night,E07000209,3,331,3,70,0,0,0,1,4,1,1,0,2,2,1,2,E01030422,1,5,Not at junction or within 20 metres,None within 50 metres,Zebra,Other object on road,Darkness - lights lit,Dry,Dual carriageway,None,Fine no high winds,Rural,1,1,1,1,3,1,1
1,5,451122358,521391,161276,-0.258711,51.337622,12/17/2021,dec,6,32:00.0,7,morni,E07000208,3,24,6,30,9,6,0,0,1,1,1,0,0,1,1,2,E01030391,1,1,Other junction,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Urban,2,1,1,1,2,1,1
1,5,451122358,521391,161276,-0.258711,51.337622,12/17/2021,dec,6,32:00.0,7,morni,E07000208,3,24,6,30,9,6,0,0,1,1,1,0,0,1,1,2,E01030391,1,1,Other junction,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Urban,2,1,1,1,2,1,1
1,6,451022967,505419,168572,-0.485751,51.406386,2/21/2021,feb,1,49:00.0,17,after,E07000213,4,376,6,30,0,0,0,0,4,1,2,0,0,2,1,2,E01030721,2,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Darkness - lights lit,Wet or damp,Single carriageway,None,Fine no high winds,Rural,2,1,1,1,2,1,1
1,6,451022967,505419,168572,-0.485751,51.406386,2/21/2021,feb,1,49:00.0,17,after,E07000213,4,376,6,30,0,0,0,0,4,1,2,0,0,2,1,2,E01030721,2,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Darkness - lights lit,Wet or damp,Single carriageway,None,Fine no high winds,Rural,2,1,1,1,2,1,1
1,6,451036542,527789,153185,-0.169806,51.263506,4/17/2021,apr,7,40:00.0,17,after,E07000211,6,0,6,60,0,0,0,0,1,1,1,0,0,2,1,2,E01030598,1,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,1,1,1
1,6,451036670,536127,152890,-0.050484,51.258926,4/18/2021,apr,1,28:00.0,17,after,E07000215,1,25,3,70,0,0,0,0,1,1,1,0,0,2,1,1,E01030825,2,4,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Dual carriageway,None,Fine no high winds,Rural,1,1,1,1,1,1,1
1,6,451038559,491013,163192,-0.694183,51.360516,4/23/2021,apr,6,45:00.0,13,after,E07000214,3,30,6,30,3,3,0,0,1,1,1,0,0,2,1,2,E01030759,1,1,T or staggered junction,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,1,1,1
1,6,451127638,541252,152796,0.022879,51.256836,12/28/2021,dec,3,20:00.0,10,morni,E07000215,3,25,6,30,0,0,0,0,1,1,2,0,0,2,1,2,E01030832,2,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Wet or damp,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,4,1,1
1,6,451127638,541252,152796,0.022879,51.256836,12/28/2021,dec,3,20:00.0,10,morni,E07000215,3,25,6,30,0,0,0,0,1,1,2,0,0,2,1,2,E01030832,2,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Wet or damp,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,4,1,1
1,6,451127638,541252,152796,0.022879,51.256836,12/28/2021,dec,3,20:00.0,10,morni,E07000215,3,25,6,30,0,0,0,0,1,1,2,0,0,2,1,2,E01030832,2,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Wet or damp,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,4,1,1
1,6,451127638,541252,152796,0.022879,51.256836,12/28/2021,dec,3,20:00.0,10,morni,E07000215,3,25,6,30,0,0,0,0,1,1,2,0,0,2,1,2,E01030832,2,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Wet or damp,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,4,1,1
1,6,451057723,502961,159348,-0.523744,51.323924,6/21/2021,jun,2,02:00.0,0,night,E07000217,4,382,6,40,0,0,0,0,4,1,1,0,0,2,1,2,E01030996,1,1,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Darkness - lights lit,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,1,1,1
1,6,451064876,540149,151803,0.006694,51.248184,7/10/2021,jul,7,28:00.0,11,morni,E07000215,6,0,6,30,3,6,0,0,1,1,2,0,0,1,1,2,E01030841,1,3,T or staggered junction,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Wet or damp,Single carriageway,None,Fine no high winds,Urban,1,1,1,1,1,1,1
1,6,451074088,528135,146502,-0.167236,51.203365,8/5/2021,aug,5,15:00.0,9,morni,E07000211,3,23,3,40,0,0,0,4,1,1,1,0,0,1,1,2,E01030629,3,3,Not at junction or within 20 metres,None within 50 metres,"Pelican, puffin, toucan or similar non-junction",None,Daylight,Dry,Dual carriageway,None,Fine no high winds,Urban,2,1,1,1,2,1,1
1,6,451074088,528135,146502,-0.167236,51.203365,8/5/2021,aug,5,15:00.0,9,morni,E07000211,3,23,3,40,0,0,0,4,1,1,1,0,0,1,1,2,E01030629,3,3,Not at junction or within 20 metres,None within 50 metres,"Pelican, puffin, toucan or similar non-junction",None,Daylight,Dry,Dual carriageway,None,Fine no high winds,Urban,2,1,1,1,2,1,1
1,6,451091861,488376,149961,-0.73532,51.241989,9/26/2021,sep,1,02:00.0,1,night,E07000209,6,0,6,30,1,3,0,0,4,1,1,0,0,1,1,2,E01030422,9,2,Roundabout,None within 50 metres,No physical crossing facilities within 50 metres,None,Darkness - lights lit,Dry,Single carriageway,None,Fine no high winds,Urban,1,1,1,1,1,1,1
1,6,451092435,488306,149952,-0.736324,51.241919,9/28/2021,sep,3,03:00.0,0,night,E07000209,3,331,3,70,0,0,0,1,4,1,1,0,2,2,1,2,E01030422,1,5,Not at junction or within 20 metres,None within 50 metres,Zebra,Other object on road,Darkness - lights lit,Dry,Dual carriageway,None,Fine no high winds,Rural,1,1,1,1,3,1,1
1,6,451092435,488306,149952,-0.736324,51.241919,9/28/2021,sep,3,03:00.0,0,night,E07000209,3,331,3,70,0,0,0,1,4,1,1,0,2,2,1,2,E01030422,1,5,Not at junction or within 20 metres,None within 50 metres,Zebra,Other object on road,Darkness - lights lit,Dry,Dual carriageway,None,Fine no high winds,Rural,1,1,1,1,3,1,1
1,6,451092435,488306,149952,-0.736324,51.241919,9/28/2021,sep,3,03:00.0,0,night,E07000209,3,331,3,70,0,0,0,1,4,1,1,0,2,2,1,2,E01030422,1,5,Not at junction or within 20 metres,None within 50 metres,Zebra,Other object on road,Darkness - lights lit,Dry,Dual carriageway,None,Fine no high winds,Rural,1,1,1,1,3,1,1
1,6,451122358,521391,161276,-0.258711,51.337622,12/17/2021,dec,6,32:00.0,7,morni,E07000208,3,24,6,30,9,6,0,0,1,1,1,0,0,1,1,2,E01030391,1,1,Other junction,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Urban,2,1,1,1,1,1,1
1,7,451022967,505419,168572,-0.485751,51.406386,2/21/2021,feb,1,49:00.0,17,after,E07000213,4,376,6,30,0,0,0,0,4,1,2,0,0,2,1,2,E01030721,2,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Darkness - lights lit,Wet or damp,Single carriageway,None,Fine no high winds,Rural,2,1,1,1,2,1,1
1,7,451022967,505419,168572,-0.485751,51.406386,2/21/2021,feb,1,49:00.0,17,after,E07000213,4,376,6,30,0,0,0,0,4,1,2,0,0,2,1,2,E01030721,2,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Darkness - lights lit,Wet or damp,Single carriageway,None,Fine no high winds,Rural,2,1,1,1,2,1,1
1,7,451023766,530935,145922,-0.127391,51.197518,2/25/2021,feb,5,45:00.0,0,night,E07000215,1,23,3,70,0,0,0,0,6,1,1,0,0,2,1,1,E01030814,1,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Darkness - no lighting,Dry,Dual carriageway,None,Fine no high winds,Rural,1,1,1,1,2,1,1
1,7,451023766,530935,145922,-0.127391,51.197518,2/25/2021,feb,5,45:00.0,0,night,E07000215,1,23,3,70,0,0,0,0,6,1,1,0,0,2,1,1,E01030814,1,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Darkness - no lighting,Dry,Dual carriageway,None,Fine no high winds,Rural,1,1,1,1,2,1,1
1,7,451033139,493769,161871,-0.654959,51.348193,4/6/2021,apr,3,20:00.0,14,after,E07000214,3,322,3,70,3,6,0,8,1,1,1,0,0,2,1,2,E01030806,1,1,T or staggered junction,None within 50 metres,Central refuge,None,Daylight,Dry,Dual carriageway,None,Fine no high winds,Rural,2,1,1,1,2,1,1
1,7,451033139,493769,161871,-0.654959,51.348193,4/6/2021,apr,3,20:00.0,14,after,E07000214,3,322,3,70,3,6,0,8,1,1,1,0,0,2,1,2,E01030806,1,1,T or staggered junction,None within 50 metres,Central refuge,None,Daylight,Dry,Dual carriageway,None,Fine no high winds,Rural,2,1,1,1,2,1,1
1,7,451036542,527789,153185,-0.169806,51.263506,4/17/2021,apr,7,40:00.0,17,after,E07000211,6,0,6,60,0,0,0,0,1,1,1,0,0,2,1,2,E01030598,1,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,2,1,1
1,7,451036542,527789,153185,-0.169806,51.263506,4/17/2021,apr,7,40:00.0,17,after,E07000211,6,0,6,60,0,0,0,0,1,1,1,0,0,2,1,2,E01030598,1,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,2,1,1
1,7,451127638,541252,152796,0.022879,51.256836,12/28/2021,dec,3,20:00.0,10,morni,E07000215,3,25,6,30,0,0,0,0,1,1,2,0,0,2,1,2,E01030832,2,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Wet or damp,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,1,1,1
1,7,451057723,502961,159348,-0.523744,51.323924,6/21/2021,jun,2,02:00.0,0,night,E07000217,4,382,6,40,0,0,0,0,4,1,1,0,0,2,1,2,E01030996,1,1,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Darkness - lights lit,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,1,1,1
1,7,451064876,540149,151803,0.006694,51.248184,7/10/2021,jul,7,28:00.0,11,morni,E07000215,6,0,6,30,3,6,0,0,1,1,2,0,0,1,1,2,E01030841,1,3,T or staggered junction,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Wet or damp,Single carriageway,None,Fine no high winds,Urban,1,1,1,1,1,1,1
1,7,451074088,528135,146502,-0.167236,51.203365,8/5/2021,aug,5,15:00.0,9,morni,E07000211,3,23,3,40,0,0,0,4,1,1,1,0,0,1,1,2,E01030629,3,3,Not at junction or within 20 metres,None within 50 metres,"Pelican, puffin, toucan or similar non-junction",None,Daylight,Dry,Dual carriageway,None,Fine no high winds,Urban,2,1,1,1,2,1,1
1,7,451074088,528135,146502,-0.167236,51.203365,8/5/2021,aug,5,15:00.0,9,morni,E07000211,3,23,3,40,0,0,0,4,1,1,1,0,0,1,1,2,E01030629,3,3,Not at junction or within 20 metres,None within 50 metres,"Pelican, puffin, toucan or similar non-junction",None,Daylight,Dry,Dual carriageway,None,Fine no high winds,Urban,2,1,1,1,2,1,1
1,7,451076994,490518,154620,-0.703465,51.283536,8/14/2021,aug,7,30:00.0,14,after,E07000209,6,0,6,40,0,0,0,0,1,1,1,0,0,2,1,2,E01030466,1,1,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,2,1,1
1,7,451076994,490518,154620,-0.703465,51.283536,8/14/2021,aug,7,30:00.0,14,after,E07000209,6,0,6,40,0,0,0,0,1,1,1,0,0,2,1,2,E01030466,1,1,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,2,1,1
1,7,451091861,488376,149961,-0.73532,51.241989,9/26/2021,sep,1,02:00.0,1,night,E07000209,6,0,6,30,1,3,0,0,4,1,1,0,0,1,1,2,E01030422,9,2,Roundabout,None within 50 metres,No physical crossing facilities within 50 metres,None,Darkness - lights lit,Dry,Single carriageway,None,Fine no high winds,Urban,1,1,1,1,1,1,1
1,7,451119051,520009,163568,-0.277769,51.358515,12/8/2021,dec,4,19:00.0,21,eveni,E07000208,4,284,3,40,0,0,0,0,4,1,1,0,0,1,1,2,E01030401,1,3,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Darkness - lights lit,Dry,Dual carriageway,None,Fine no high winds,Urban,1,1,1,1,1,1,1
1,7,451122358,521391,161276,-0.258711,51.337622,12/17/2021,dec,6,32:00.0,7,morni,E07000208,3,24,6,30,9,6,0,0,1,1,1,0,0,1,1,2,E01030391,1,1,Other junction,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Urban,2,1,1,1,1,1,1
1,8,451026899,503411,169792,-0.514254,51.417721,3/9/2021,mar,3,51:00.0,8,morni,E07000212,3,320,6,40,0,0,0,8,1,1,1,0,0,1,1,2,E01030686,1,1,Not at junction or within 20 metres,None within 50 metres,Central refuge,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Urban,1,1,1,1,4,1,1
1,8,451026899,503411,169792,-0.514254,51.417721,3/9/2021,mar,3,51:00.0,8,morni,E07000212,3,320,6,40,0,0,0,8,1,1,1,0,0,1,1,2,E01030686,1,1,Not at junction or within 20 metres,None within 50 metres,Central refuge,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Urban,1,1,1,1,4,1,1
1,8,451026899,503411,169792,-0.514254,51.417721,3/9/2021,mar,3,51:00.0,8,morni,E07000212,3,320,6,40,0,0,0,8,1,1,1,0,0,1,1,2,E01030686,1,1,Not at junction or within 20 metres,None within 50 metres,Central refuge,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Urban,1,1,1,1,4,1,1
1,8,451026899,503411,169792,-0.514254,51.417721,3/9/2021,mar,3,51:00.0,8,morni,E07000212,3,320,6,40,0,0,0,8,1,1,1,0,0,1,1,2,E01030686,1,1,Not at junction or within 20 metres,None within 50 metres,Central refuge,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Urban,1,1,1,1,4,1,1
1,8,451033139,493769,161871,-0.654959,51.348193,4/6/2021,apr,3,20:00.0,14,after,E07000214,3,322,3,70,3,6,0,8,1,1,1,0,0,2,1,2,E01030806,1,1,T or staggered junction,None within 50 metres,Central refuge,None,Daylight,Dry,Dual carriageway,None,Fine no high winds,Rural,2,1,1,1,2,1,1
1,8,451033139,493769,161871,-0.654959,51.348193,4/6/2021,apr,3,20:00.0,14,after,E07000214,3,322,3,70,3,6,0,8,1,1,1,0,0,2,1,2,E01030806,1,1,T or staggered junction,None within 50 metres,Central refuge,None,Daylight,Dry,Dual carriageway,None,Fine no high winds,Rural,2,1,1,1,2,1,1
1,8,451036542,527789,153185,-0.169806,51.263506,4/17/2021,apr,7,40:00.0,17,after,E07000211,6,0,6,60,0,0,0,0,1,1,1,0,0,2,1,2,E01030598,1,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,1,1,1
1,8,451036670,536127,152890,-0.050484,51.258926,4/18/2021,apr,1,28:00.0,17,after,E07000215,1,25,3,70,0,0,0,0,1,1,1,0,0,2,1,1,E01030825,2,4,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Dual carriageway,None,Fine no high winds,Rural,1,1,1,1,1,1,1
1,8,451038559,491013,163192,-0.694183,51.360516,4/23/2021,apr,6,45:00.0,13,after,E07000214,3,30,6,30,3,3,0,0,1,1,1,0,0,2,1,2,E01030759,1,1,T or staggered junction,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,3,1,1
1,8,451038559,491013,163192,-0.694183,51.360516,4/23/2021,apr,6,45:00.0,13,after,E07000214,3,30,6,30,3,3,0,0,1,1,1,0,0,2,1,2,E01030759,1,1,T or staggered junction,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,3,1,1
1,8,451038559,491013,163192,-0.694183,51.360516,4/23/2021,apr,6,45:00.0,13,after,E07000214,3,30,6,30,3,3,0,0,1,1,1,0,0,2,1,2,E01030759,1,1,T or staggered junction,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,3,1,1
1,8,451057723,502961,159348,-0.523744,51.323924,6/21/2021,jun,2,02:00.0,0,night,E07000217,4,382,6,40,0,0,0,0,4,1,1,0,0,2,1,2,E01030996,1,1,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Darkness - lights lit,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,1,1,1
